SimulationName,Season,EnvType
ExperimentDarling Downs ESiteDalby_Vert180SowingLateSoilWaterHigh,1907,1
ExperimentDarling Downs ESiteMiles_GC120SowingLateSoilWaterMid,1907,1
ExperimentDarling Downs ESiteMiles_GC120SowingLateSoilWaterHigh,1907,1
ExperimentDarling Downs SW P1SiteGoondiwindi_GC120SowingLateSoilWaterMid,1907,1
ExperimentDarling Downs SW P1SiteGoondiwindi_RC140SowingLateSoilWaterMid,1907,1
ExperimentDarling Downs SW P1SiteGoondiwindi_GC120SowingLateSoilWaterHigh,1907,1
ExperimentDarling Downs SW P1SiteGoondiwindi_RC140SowingLateSoilWaterHigh,1907,1
ExperimentDarling Downs ESitePittsworth_GC150MSowingLateSoilWaterLow,1907,1
ExperimentDarling Downs ESitePittsworth_GC150MSowingLateSoilWaterMid,1907,1
ExperimentDarling Downs ESitePittsworth_GC150MSowingLateSoilWaterHigh,1907,1
ExperimentDarling Downs SW P1SiteGoondiwindi_GC120SowingLateSoilWaterLow,1907,1
ExperimentDarling Downs SW P2SiteMoree_Vert200SowingMidSoilWaterHigh,1908,1
ExperimentDarling Downs ESiteDalby_Vert180SowingMidSoilWaterMid,1908,1
ExperimentDarling Downs ESiteDalby_Vert180SowingMidSoilWaterHigh,1908,1
ExperimentDarling Downs SW P2SiteMoree_Vert200SowingLateSoilWaterMid,1908,1
ExperimentDarling Downs SW P2SiteMoree_Vert200SowingLateSoilWaterHigh,1908,1
ExperimentDarling Downs ESiteDalby_GC150MSowingLateSoilWaterMid,1908,1
ExperimentDarling Downs ESiteDalby_Vert180SowingLateSoilWaterMid,1908,1
ExperimentDarling Downs ESiteDalby_GC150MSowingLateSoilWaterHigh,1908,1
ExperimentDarling Downs ESiteDalby_Vert180SowingLateSoilWaterHigh,1908,1
ExperimentDarling Downs ESiteMiles_GC120SowingLateSoilWaterMid,1908,1
ExperimentDarling Downs ESiteMiles_GC120SowingLateSoilWaterHigh,1908,1
ExperimentDarling Downs SW P2SiteMoree_Vert200SowingEarlySoilWaterHigh,1909,1
ExperimentDarling Downs ESiteDalby_Vert180SowingEarlySoilWaterHigh,1909,1
ExperimentDarling Downs ESitePittsworth_GC150MSowingEarlySoilWaterHigh,1909,1
ExperimentDarling Downs SW P2SiteMoree_GC150HSowingEarlySoilWaterLow,1909,1
ExperimentDarling Downs SW P2SiteMoree_Vert200SowingEarlySoilWaterLow,1909,1
